customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address_id,property_valuation
1,Laraine,Medendorp,F,1953-10-12 00:00:00,Executive Secretary,Health,Mass Customer,N,Yes,0,10
2,Eli,Bockman,Male,1980-12-16 00:00:00,Administrative Officer,Financial Services,Mass Customer,N,Yes,1,10
3,Arlin,Dearle,Male,1954-01-20 00:00:00,Recruiting Manager,Property,Mass Customer,N,Yes,2,9
4,Talbot,,Male,1961-10-03 00:00:00,,IT,Mass Customer,N,No,3,4
5,Sheila-kathryn,Calton,Female,1977-05-13 00:00:00,Senior Editor,,Affluent Customer,N,Yes,4,9
6,Curr,Duckhouse,Male,1966-09-16 00:00:00,,Retail,High Net Worth,N,Yes,5,9
7,Fina,Merali,Female,1976-02-23 00:00:00,,Financial Services,Affluent Customer,N,Yes,6,4
8,Rod,Inder,Male,1962-03-30 00:00:00,Media Manager I,,Mass Customer,N,No,7,12
9,Mala,Lind,Female,1973-03-10 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,8
10,Fiorenze,Birdall,Female,1988-10-11 00:00:00,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,9,4
11,Uriah,Bisatt,Male,1954-04-30 00:00:00,,Property,Mass Customer,N,No,10,6
12,Sawyere,Flattman,Male,1994-07-21 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,11,8
13,Gabriele,Norcross,Male,1955-02-15 00:00:00,Developer I,Financial Services,High Net Worth,N,Yes,12,9
14,Rayshell,Kitteman,Female,1983-03-25 00:00:00,Account Executive,Financial Services,Affluent Customer,N,No,13,4
15,Erroll,Radage,Male,2000-07-13 00:00:00,Junior Executive,Manufacturing,Mass Customer,N,No,14,9
16,Harlin,Parr,Male,1977-02-27 00:00:00,Media Manager IV,,Mass Customer,N,Yes,15,12
17,Heath,Faraday,Male,1962-03-19 00:00:00,Sales Associate,,Affluent Customer,N,Yes,16,9
18,Marjie,Neasham,Female,1967-07-06 00:00:00,Professor,,Affluent Customer,N,No,17,8
19,Sorcha,Keyson,Female,2001-04-15 00:00:00,Geological Engineer,Manufacturing,High Net Worth,N,No,18,7
20,Basile,Firth,Male,1980-08-13 00:00:00,Project Manager,Manufacturing,Mass Customer,N,No,19,10
21,Mile,Cammocke,Male,1980-09-20 00:00:00,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,20,3
22,Deeanne,Durtnell,Female,1962-12-10 00:00:00,,IT,Mass Customer,N,No,21,5
23,Olav,Polak,Male,1995-02-10 00:00:00,,,High Net Worth,N,Yes,22,7
24,Kim,Skpsey,Female,1977-12-03 00:00:00,Research Assistant I,Argiculture,Mass Customer,N,Yes,23,4
25,Geoff,Assaf,Male,1976-12-02 00:00:00,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,24,7
26,Trixi,Ginnelly,Female,1978-06-10 00:00:00,Editor,Financial Services,Mass Customer,N,Yes,25,11
27,Garvin,Klees,Male,1978-09-25 00:00:00,Research Nurse,Health,Mass Customer,N,Yes,26,12
28,Fee,Zellmer,Male,1973-09-30 00:00:00,Senior Quality Engineer,Health,Affluent Customer,N,Yes,27,9
29,Mona,Sancraft,Female,1968-06-22 00:00:00,Safety Technician III,Manufacturing,Mass Customer,N,No,28,9
30,Darrick,Helleckas,Male,1961-10-18 00:00:00,,IT,Affluent Customer,N,Yes,29,8
31,Star,Praton,Female,1962-11-24 00:00:00,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,30,6
32,Marion,Vanichkin,Female,1995-04-20 00:00:00,Legal Assistant,Manufacturing,Affluent Customer,N,No,31,8
33,Ernst,Hacon,Male,1957-06-25 00:00:00,Product Engineer,,Affluent Customer,N,Yes,32,1
34,Jephthah,Bachmann,U,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,33,4
35,Margaretha,Strettle,Female,1963-09-28 00:00:00,Information Systems Manager,Health,High Net Worth,N,Yes,34,10
36,Lurette,Stonnell,Female,1977-11-09 00:00:00,VP Quality Control,,Affluent Customer,N,No,35,8
37,Laurie,Dwerryhouse,Female,1985-12-22 00:00:00,Social Worker,Health,High Net Worth,N,No,36,9
38,Cordi,Merman,Female,1955-10-29 00:00:00,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,37,10
39,Hunfredo,Smalley,Male,1979-04-16 00:00:00,Assistant Media Planner,Entertainment,Mass Customer,N,No,38,8
40,Tomasine,Jerche,Female,1981-10-27 00:00:00,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,39,2
41,Basilius,Coupe,Male,1976-04-14 00:00:00,Food Chemist,Health,Mass Customer,N,No,40,3
42,Chiquita,Durnall,Female,1977-03-28 00:00:00,Accountant III,Manufacturing,Mass Customer,N,No,41,6
43,Indira,Belt,Female,1983-03-01 00:00:00,Director of Sales,Retail,Mass Customer,N,No,42,4
44,Neron,Verick,Male,1981-10-18 00:00:00,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,43,9
45,Trace,Woodhead,Male,1975-09-23 00:00:00,Senior Financial Analyst,Financial Services,Mass Customer,N,No,44,9
46,Kaila,Allin,Female,1972-02-26 00:00:00,,,Affluent Customer,N,Yes,45,10
47,Matthew,Jeaycock,Male,1992-10-22 00:00:00,Registered Nurse,Health,Affluent Customer,N,No,46,5
48,Rebbecca,Casone,Female,1975-08-15 00:00:00,Biostatistician II,,Mass Customer,N,Yes,47,8
49,Nolly,Ownsworth,Male,1994-01-26 00:00:00,VP Quality Control,,Affluent Customer,N,No,48,3
50,Whitby,Schapero,Male,1980-10-01 00:00:00,Account Executive,Manufacturing,Mass Customer,N,Yes,49,8
51,Fidelio,Dilke,Male,1959-12-05 00:00:00,Computer Systems Analyst II,Retail,Mass Customer,N,No,50,10
52,Curran,Bentson,Male,1988-06-22 00:00:00,,Financial Services,Mass Customer,N,Yes,51,10
53,Agnella,Gocke,Female,1954-04-18 00:00:00,Software Test Engineer II,Financial Services,Mass Customer,N,No,52,6
54,Loralyn,Wonfor,Femal,1966-07-24 00:00:00,Sales Associate,Property,Mass Customer,N,Yes,53,9
55,Linc,Jillions,Male,1956-09-24 00:00:00,Paralegal,Financial Services,Affluent Customer,N,Yes,54,9
56,Reese,Ensor,Male,1996-07-04 00:00:00,VP Sales,Property,Mass Customer,N,Yes,55,10
57,Abba,Masedon,M,1988-06-13 00:00:00,Chief Design Engineer,,Mass Customer,N,Yes,56,7
58,Dalenna,Pinnock,Female,1967-07-04 00:00:00,Office Assistant III,Financial Services,Affluent Customer,N,Yes,57,8
59,Niki,Heathcote,Male,2000-02-08 00:00:00,Physical Therapy Assistant,,High Net Worth,N,No,58,9
60,Nadiya,Champerlen,Female,1970-02-04 00:00:00,,Manufacturing,Mass Customer,N,No,59,8
61,Kacey,Rowbottom,Female,1959-11-29 00:00:00,Help Desk Operator,Property,High Net Worth,N,No,60,10
62,Sorcha,Roggers,Female,1979-07-06 00:00:00,,IT,Mass Customer,N,Yes,61,10
63,Ebony,Zini,Female,1965-07-03 00:00:00,Senior Quality Engineer,Retail,Mass Customer,N,Yes,62,10
64,Gerek,Yve,Male,1978-03-25 00:00:00,Legal Assistant,IT,High Net Worth,N,No,63,7
65,Yale,Tanser,Male,1976-04-01 00:00:00,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,64,7
66,Anselm,Gawne,Male,2002-03-11 00:00:00,Account Executive,Argiculture,High Net Worth,N,No,65,12
67,Vernon,,Male,1960-06-14 00:00:00,Web Developer II,Retail,Mass Customer,N,No,66,10
68,Dahlia,Eddoes,Female,1974-04-21 00:00:00,Information Systems Manager,,Affluent Customer,N,No,67,6
69,Heidi,Milner,Female,1969-06-22 00:00:00,Web Developer II,,Mass Customer,N,No,68,8
70,Foster,Vannoort,Male,1993-02-27 00:00:00,Paralegal,Financial Services,Affluent Customer,N,No,69,8
71,Hoyt,Glavias,Male,1985-01-27 00:00:00,Research Associate,Argiculture,Affluent Customer,N,Yes,70,8
72,Sammy,Cheese,Male,1972-02-13 00:00:00,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,71,9
73,Minette,Worters,Female,1960-05-27 00:00:00,Teacher,,Affluent Customer,N,Yes,72,5
74,Pansy,Kiddie,Female,1969-06-19 00:00:00,,,Mass Customer,N,Yes,73,9
75,Dollie,Sealy,Female,1978-07-15 00:00:00,VP Product Management,Property,Mass Customer,N,No,74,10
76,Rea,Hasser,Female,1978-01-23 00:00:00,Statistician II,Retail,High Net Worth,N,Yes,75,1
77,Shermie,Andrin,Male,1989-09-12 00:00:00,Automation Specialist IV,Financial Services,Mass Customer,N,No,76,6
78,Arch,Van der Kruis,Male,1985-03-12 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,77,8
79,Tybi,Silliman,Female,1968-10-02 00:00:00,Account Executive,Manufacturing,Mass Customer,N,No,78,12
80,Pablo,Small,Male,1978-04-24 00:00:00,Data Coordiator,Entertainment,Mass Customer,N,No,79,11
81,Bee,Blazewicz,Female,1986-09-04 00:00:00,,Health,High Net Worth,N,No,80,11
82,Gleda,Cokely,Female,1965-06-28 00:00:00,Software Test Engineer III,Property,High Net Worth,N,No,81,11
83,Kerr,Simmell,Male,1967-02-26 00:00:00,Internal Auditor,IT,Mass Customer,N,Yes,82,12
84,Rich,Mathiasen,Male,1958-02-07 00:00:00,Accountant III,,Mass Customer,N,Yes,83,12
85,Kane,Tixall,Male,1958-05-21 00:00:00,Analyst Programmer,,Mass Customer,N,No,84,11
86,Job,Sleney,Male,1989-03-04 00:00:00,Occupational Therapist,Health,High Net Worth,N,Yes,85,10
